date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:23:12	0/0	---M--	404	error ('Not%20Found')	unknown/unknown	date:Mon,%2021%20Sep%202026%2001:23:12%20GMT	https://khai-partners.com/robots.txt		(from )
09:23:12	5199/5199	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2001:23:12%20GMT	https://khai-partners.com/	F:/Ryn/Materi/Company%20profile%20Khai%20&%20Partners/Website/KHAI%20PARTNERS/khai-partners.com/index.html	(from )
09:23:15	9985/9985	---MCZ	200	added ('OK')	text/css	etag:W/%2287a9ab1cf2f7cd54f04ad950e51193e3%22	https://khai-partners.com/styles.css	F:/Ryn/Materi/Company%20profile%20Khai%20&%20Partners/Website/KHAI%20PARTNERS/khai-partners.com/styles.css	(from https://khai-partners.com/)
09:23:15	1163/1163	---MCZ	200	added ('OK')	text/css	etag:W/%224b68118df8350e1e6bd9d26e83489b14%22	https://khai-partners.com/logo.css	F:/Ryn/Materi/Company%20profile%20Khai%20&%20Partners/Website/KHAI%20PARTNERS/khai-partners.com/logo.css	(from https://khai-partners.com/)
09:23:15	5417/5417	---MCZ	200	added ('OK')	text/css	etag:W/%22e6d3ea52e29a221e160947155c19db73%22	https://khai-partners.com/refinement.css	F:/Ryn/Materi/Company%20profile%20Khai%20&%20Partners/Website/KHAI%20PARTNERS/khai-partners.com/refinement.css	(from https://khai-partners.com/)
09:23:16	4645/4645	---MCZ	200	added ('OK')	text/css	etag:W/%22c568cae9adf7be8fb22acddcc37a51e1%22	https://khai-partners.com/home.css	F:/Ryn/Materi/Company%20profile%20Khai%20&%20Partners/Website/KHAI%20PARTNERS/khai-partners.com/home.css	(from https://khai-partners.com/)
09:23:16	99313/99313	---M--	200	added ('OK')	image/png	etag:%22cd9d2c5320dd14c7dadd617d92ec0bd1%22	https://khai-partners.com/khai-partners-logo.png	F:/Ryn/Materi/Company%20profile%20Khai%20&%20Partners/Website/KHAI%20PARTNERS/khai-partners.com/khai-partners-logo.png	(from https://khai-partners.com/)
09:23:16	0/0	---M--	307	error ('Temporary%20Redirect')	unknown/unknown	date:Mon,%2021%20Sep%202026%2001:23:16%20GMT	https://khai-partners.com/index.html	F:/Ryn/Materi/Company%20profile%20Khai%20&%20Partners/Website/KHAI%20PARTNERS/khai-partners.com/index-2.html	(from https://khai-partners.com/)
09:23:16	0/0	---M--	307	error ('Temporary%20Redirect')	unknown/unknown	date:Mon,%2021%20Sep%202026%2001:23:16%20GMT	https://khai-partners.com/tentang.html	F:/Ryn/Materi/Company%20profile%20Khai%20&%20Partners/Website/KHAI%20PARTNERS/khai-partners.com/tentang.html	(from https://khai-partners.com/)
09:23:22	4665/4665	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2001:23:16%20GMT	https://khai-partners.com/tentang	F:/Ryn/Materi/Company%20profile%20Khai%20&%20Partners/Website/KHAI%20PARTNERS/khai-partners.com/tentang.html	(from https://khai-partners.com/)
09:23:22	0/0	---M--	307	error ('Temporary%20Redirect')	unknown/unknown	date:Mon,%2021%20Sep%202026%2001:23:17%20GMT	https://khai-partners.com/bidang-praktik.html	F:/Ryn/Materi/Company%20profile%20Khai%20&%20Partners/Website/KHAI%20PARTNERS/khai-partners.com/bidang-praktik.html	(from https://khai-partners.com/)
09:23:22	4734/4734	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2001:23:22%20GMT	https://khai-partners.com/bidang-praktik	F:/Ryn/Materi/Company%20profile%20Khai%20&%20Partners/Website/KHAI%20PARTNERS/khai-partners.com/bidang-praktik.html	(from https://khai-partners.com/)
09:23:22	0/0	---M--	307	error ('Temporary%20Redirect')	unknown/unknown	date:Mon,%2021%20Sep%202026%2001:23:22%20GMT	https://khai-partners.com/profil.html	F:/Ryn/Materi/Company%20profile%20Khai%20&%20Partners/Website/KHAI%20PARTNERS/khai-partners.com/profil.html	(from https://khai-partners.com/)
09:23:23	5702/5702	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2001:23:23%20GMT	https://khai-partners.com/profil	F:/Ryn/Materi/Company%20profile%20Khai%20&%20Partners/Website/KHAI%20PARTNERS/khai-partners.com/profil.html	(from https://khai-partners.com/)
09:23:23	0/0	---M--	307	error ('Temporary%20Redirect')	unknown/unknown	date:Mon,%2021%20Sep%202026%2001:23:23%20GMT	https://khai-partners.com/kontak.html	F:/Ryn/Materi/Company%20profile%20Khai%20&%20Partners/Website/KHAI%20PARTNERS/khai-partners.com/kontak.html	(from https://khai-partners.com/)
09:23:23	4200/4200	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2001:23:23%20GMT	https://khai-partners.com/kontak	F:/Ryn/Materi/Company%20profile%20Khai%20&%20Partners/Website/KHAI%20PARTNERS/khai-partners.com/kontak.html	(from https://khai-partners.com/)
09:23:23	304700/304700	---M--	200	added ('OK')	image/jpeg	etag:%22ea7260bccaf0e34fc9505945d39d8178%22	https://khai-partners.com/khairul-anam-profile.jpeg	F:/Ryn/Materi/Company%20profile%20Khai%20&%20Partners/Website/KHAI%20PARTNERS/khai-partners.com/khairul-anam-profile.jpeg	(from https://khai-partners.com/)
